BRANCH1,SUBJECT,TITLE,CHANNEL,Video URL,ID,UNIT,YEAR,BRANCH
CSE,ENGINEERING PHYSICS,"AKTU _ LASER (Spontaneous &amp; Stimulated Emission, Einsteins Coefficients)",PHYSICS MADE EASY(Dr. Divya Ghildyal),https://www.youtube.com/watch?v=F8wUwIrB0CI,4.0.8,4,1,CSE-1
CSE,ENGINEERING PHYSICS,He-Ne Laser with Construction and Working in Laser | Engineering Physics | Lec-30,Er Sahil ka Gyan,https://www.youtube.com/watch?v=-2pzsgxUGWw,4.1.0,4,1,CSE-1
CSE,ENGINEERING PHYSICS,Temperature Dependence of Electrical Resistivity in Superconductors,Physics for Engineers by Dr. Devbrat Pundhir,https://www.youtube.com/watch?v=gZo8A-8Cee0,5.0.1,5,1,CSE-1
CSE,ENGINEERING PHYSICS,Temperature Dependence of Critical Field in Superconductors I B. Tech. I B. Sc. Physics,Physics for Engineers by Dr. Devbrat Pundhir,https://www.youtube.com/watch?v=y0cEq8WZIj4,5.0.3,5,1,CSE-1
CSE,ENGINEERING PHYSICS,persistent current (superconducting ring),Banaja Dandasena,https://www.youtube.com/watch?v=iwgAsw2CBFY,5.0.4,5,1,CSE-1
CSE,ENGINEERING PHYSICS,Types Of Superconductors | Type I and Type II Superconductors In Hindi,RK Physics Point,https://www.youtube.com/watch?v=IOycLcQx2_w,5.0.5,5,1,CSE-1
CSE,ENGINEERING PHYSICS,"Basic introduction of Nano-materials , properties, classification , approaches",Chahat Pahuja,https://www.youtube.com/watch?v=XqwKboYW1E8,5.0.6,5,1,CSE-1
CSE,ENGINEERING PHYSICS,"quantum confinement. quantum wells , wires and dots.",FARHAN PHYSICS,https://www.youtube.com/watch?v=6LV93xEv3Ts,5.0.7,5,1,CSE-1
CSE,ENGINEERING PHYSICS,Top Down Fabrication of Nanomaterials,Tonya Coffey,https://www.youtube.com/watch?v=LJ37mRLmMGY,5.0.8,5,1,CSE-1
CSE,ENGINEERING PHYSICS,Sol gel Method of Material processing,Output info,https://www.youtube.com/watch?v=Sj3NeMQGAOU,5.0.9,5,1,CSE-1
IT,ENGINEERING PHYSICS,inadequacy of classical mechanics notes #short #btech,BTech Wala,https://www.youtube.com/watch?v=RhEob8SIhTI,1.0.1,1,1,IT-1
IT,ENGINEERING PHYSICS,Quantization of Energy Part 1: Blackbody Radiation and the Ultraviolet Catastrophe,Professor Dave Explains,https://www.youtube.com/watch?v=7BXvc9W97iU,1.0.2,1,1,IT-1
IT,ENGINEERING PHYSICS,Understanding Compton Scatter - X-ray Production and Safety,Clover Learning,https://www.youtube.com/watch?v=O-qDY4AYJRU,1.0.3,1,1,IT-1
IT,ENGINEERING PHYSICS,de Broglie hypothesis of matter waves around the atom,PhysicsHigh,https://www.youtube.com/watch?v=NOY_hdV-Z9Y,1.0.4,1,1,IT-1
IT,ENGINEERING PHYSICS,Matter as a Wave,Bozeman Science,https://www.youtube.com/watch?v=caVIh3RZOA4,1.0.5,1,1,IT-1
IT,ENGINEERING PHYSICS,Unit 1st | L1.6 Phase(wave) velocity &amp; Group velocity | Engg. Physics 2nd sem. | by Lalit sir #aktu,Engineers GateWay,https://www.youtube.com/watch?v=t--C-834dhk,1.0.6,1,1,IT-1
IT,ENGINEERING PHYSICS,Lec-6 I Schrodinger Equations I UnIT-1 I Quantum Mechanics I by Anjali ma&#39;am,GateWay Classes,https://www.youtube.com/watch?v=RL7LILWpg6k,1.0.7,1,1,IT-1
IT,ENGINEERING PHYSICS,Time Independent Schrodinger Wave Equation | Schrodinger Time Independent wave Equation | Aktu,JSSB FOR PHYSICS,https://www.youtube.com/watch?v=G4RQ4j4jiqQ,1.0.8,1,1,IT-1
IT,ENGINEERING PHYSICS,"Physical Significance of Wave function, Probability Density &amp; Properties of wave function",Ravi C.B,https://www.youtube.com/watch?v=k_foMAy_Gu4,1.0.9,1,1,IT-1
IT,ENGINEERING PHYSICS,Particle in a one dimensional box | Dr. Preema C Thomas | Department of Physics,CMS College Kottayam,https://www.youtube.com/watch?v=WqUrSV3VBZ0,1.1.0,1,1,IT-1
IT,ENGINEERING PHYSICS,Stoke&#39;s Theorem! Stokes Theorem in Hindi #bedkdian #mjpru #bsc #bsc1stsemester,Be DKDian,https://www.youtube.com/watch?v=oXRIWN1UFms,2.0.1,2,1,IT-1
IT,ENGINEERING PHYSICS,Cosplay by b.tech final year at IIT Kharagpur,IITians Kgpians Vlog,https://www.youtube.com/watch?v=3OFWXtyY1xk,2.0.2,2,1,IT-1
IT,ENGINEERING PHYSICS,Continuity equation for current density By Dr Anchala,Anchala Kumari,https://www.youtube.com/watch?v=E_4BJmZ41c4,2.0.3,2,1,IT-1
